# name         phase        index
sn1997ef      11.1683     -16.4000
sn1997ef      10.1799     -18.8000
sn1997ef      9.19157     -20.2000
sn1997ef      6.22655     -24.0000
sn1997ef      5.33704     -24.2000
sn1997ef      4.34870     -29.4000
sn1997ef      3.45919     -28.4000
sn1997ef      1.38368     -26.8000
sn1997ef      28.0689     -21.4000
sn1997ef      29.0572     -25.0000
sn1997ef      31.0339     -49.8000
sn1997ef      32.1211     -34.0000
sn1997ef      33.9001     -113.800
sn1997ef      34.9873     -113.000
sn1997ef      36.8651     -229.000
sn1997ef      41.9057     -203.400
sn1997ef      61.5736     -201.600
sn1997ef      47.7000     -141.800
sn1997ef      90.3344     -93.6000
sn1997ef      95.1772     -85.2000
sn1997ef      104.000     -221.600
sn1998bw    -0.694100     -18.2000
sn1998bw     -1.68567     -19.0000
sn1998bw     -2.67724     -17.6000
sn1998bw     -5.15617     -21.0000
sn1998bw     -6.54437     -17.6000
sn1998bw      1.18989     -17.2000
sn1998bw      3.37134     -16.4000
sn1998bw      4.36292     -17.6000
sn1998bw      6.34606     -18.0000
sn1998bw      9.32077     -34.4000
sn1998bw      11.3039     -45.0000
sn1998bw      12.2955     -21.0000
sn1998bw      13.6837     -51.4000
sn1998bw      19.7323     -88.8000
sn1998bw      22.1120     -131.600
sn1998bw      29.4497     -137.200
sn1998bw      44.8190     -133.600
sn1998bw      51.7600     -60.8000
sn1998bw      63.6589     -7.60000
sn1998bw      124.145     -38.2000
sn1998bw      199.306     -531.000
sn2002ap      2.09559     -22.8000
sn2002ap      1.09769     -24.0000
sn2002ap    0.0997898     -24.8000
sn2002ap      3.09348     -22.8000
sn2002ap      4.98949     -22.2000
sn2002ap      6.08718     -26.8000
sn2002ap      7.08507     -24.2000
sn2002ap      7.98318     -49.6000
sn2002ap      9.08087     -23.6000
sn2002ap      14.0704     -36.2000
sn2002ap      14.9685     -532.400
sn2002ap      28.0409     -34.0000
sn2002ap      28.9390     -35.0000
sn2002ap      32.0325     -36.0000
sn2002ap      32.9306     -68.0000
sn2002ap      121.744     -861.200
sn2002ap      130.725     -457.000
sn2002ap      151.182     -542.800
sn2002ap      154.674     -733.600
sn2002ap      157.169     -382.800
sn2002ap      183.613     -719.400
sn2003jd      1.17788     -18.0000
sn2003jd     0.196313     -18.2000
sn2003jd    -0.785250     -18.4000
sn2003jd     -1.66866     -17.2000
sn2003jd      2.15944     -21.4000
sn2003jd      19.7294     -110.600
sn2003jd      20.7110     -134.400
sn2003jd      22.6741     -146.800
sn2003jd      23.6557     -144.800
sn2003jd      24.6372     -189.000
sn2003jd      27.6801     -308.200
sn2003jd      28.5635     -209.000
sn2003jd      34.5510     -307.800
sn2003jd      47.2132     -225.000
sn2003jd      48.1947     -352.000
sn2003jd      49.1763     -122.600
sn2003jd      50.1579     -58.6000
sn2003jd      52.1210     -90.6000
sn2003jd      55.1638     -18.0000
sn2003jd      56.0472     -15.2000
sn2003jd      61.9366     -12.4000
sn2003jd      73.7154      0.00000
sn2006aj    0.0968054     -27.4000
sn2006aj    -0.871249     -22.2000
sn2006aj     -2.71055     -10.6000
sn2006aj     -3.67861     -13.0000
sn2006aj     -4.74347     -22.8000
sn2006aj     -5.71152     -12.6000
sn2006aj      2.03291     -34.6000
sn2006aj      3.00097     -24.8000
sn2006aj      198.742     -206.600
sn2007D     -3.81183     -110.400
sn2007bg      4.06190    -0.800000
sn2007ru      3.05277     -18.6000
sn2007ru    0.0984766     -21.4000
sn2007ru      38.5043     -100.200
sn1990B      4.00000     -302.800
sn1990B      21.8000     -343.400
sn1990B      38.7000     -236.400
sn1990B      64.5000     -143.000
sn1990B      71.5000     -118.800
sn1990B      100.200     -84.2000
sn1994I    -0.698926     -120.800
sn1994I     -1.59755     -104.200
sn1994I     -3.40000     -55.2000
sn1994I     -3.69432     -42.8000
sn1994I     -5.40000     -33.6000
sn1994I     -5.59141     -8.80000
sn1994I      1.29801     -157.200
sn1994I      2.49616     -292.800
sn1994I      2.60000     -159.400
sn1994I      5.60000     -108.800
sn1994I      8.60000     -234.000
sn1994I      10.6000     -318.000
sn1994I      21.3672     -594.400
sn1994I      22.3656     -618.000
sn1994I      23.3641     -632.400
sn1994I      24.2627     -559.600
sn1994I      24.6000     -404.800
sn1994I      26.1598     -495.000
sn1994I      28.2566     -300.600
sn1994I      30.2535     -402.000
sn1994I      31.6000     -336.200
sn1994I      32.6000     -378.400
sn1994I      33.5000     -386.400
sn1994I      36.1445     -194.600
sn1994I      37.1429     -118.000
sn1994I      38.2412     -149.400
sn1994I      40.1383     -104.400
sn1994I      54.5000     -35.6000
sn1994I      56.2136     -25.2000
sn1994I      67.5000     -57.6000
sn1994I      95.5000     -106.600
sn1994I      116.400     -335.000
sn1994I      145.400     -174.000
sn2004aw      3.34709     -92.8000
sn2004aw      2.26421     -74.0000
sn2004aw     0.984439     -92.6000
sn2004aw     0.295332     -91.4000
sn2004aw     -1.67355     -130.200
sn2004aw      4.33153     -85.2000
sn2004aw      4.92220     -66.6000
sn2004aw      5.90664     -64.2000
sn2004aw      7.18641     -53.0000
sn2004aw      7.87551     -64.2000
sn2004aw      14.7666     -98.8000
sn2004aw      20.6732     -65.2000
sn2004aw      21.6577     -83.4000
sn2004aw      25.5954     -279.600
sn2004aw      27.5643     -111.800
sn2004aw      28.5487     -188.800
sn2004aw      29.5332     -250.400
sn2004aw      29.9270     -179.000
sn2004aw      34.4554     -198.600
sn2004aw      43.3153     -119.200
sn2004aw      49.2220     -78.4000
sn2004aw      51.4862     -151.600
sn2004aw      62.0197     -101.400
sn2004aw      63.9886     -105.600
sn2004dn      31.0165     -261.800
sn2004dn      34.0787     -246.000
sn2004dn      52.7479     -74.0000
sn2004dn      54.7234     -90.4000
sn2004fe      2.16169     -276.400
sn2004fe      1.17911     -324.600
sn2004fe     -2.75125     -82.8000
sn2004fe     -3.83210     -271.400
sn2004fe     -4.91294     -127.400
sn2004fe      3.14428     -336.400
sn2004fe      4.12687     -390.000
sn2004fe      5.10946     -143.000
sn2004fe      10.9067     -518.800
sn2004ge      6.29349     -163.200
sn2005az     -2.77620     -38.2000
sn2005az     -4.75920     -37.6000
sn2005az     -6.64305     -29.4000
sn2005az     -8.62605     -52.2000
sn2005az     -9.61755     -108.000
sn2005az    -0.694050     -26.8000
sn2005az      2.28045     -31.6000
sn2005az      15.1699     -125.200
sn2005az      17.1529     -181.400
sn2005az      20.0283     -221.800
