# name         phase        index
sn1997ef      11.1683     -32.8000
sn1997ef      10.1799     -33.8000
sn1997ef      9.19157     -35.0000
sn1997ef      6.22655     -39.6000
sn1997ef      5.33704     -39.4000
sn1997ef      4.34870     -36.8000
sn1997ef      3.45919     -35.2000
sn1997ef      1.38368     -36.2000
sn1997ef      28.0689     -13.2000
sn1997ef      29.0572     -17.2000
sn1997ef      31.0339     -17.4000
sn1997ef      32.1211     -17.6000
sn1997ef      33.9001     -18.6000
sn1997ef      34.9873     -7.00000
sn1997ef      36.8651     -7.00000
sn1997ef      41.9057     -12.6000
sn1997ef      61.5736     -45.8000
sn1997ef      47.7000     -48.2000
sn1997ef      90.3344     -72.2000
sn1997ef      95.1772     -94.4000
sn1997ef      104.000     -96.4000
sn1998bw    -0.694100     -48.8000
sn1998bw     -1.68567     -28.8000
sn1998bw     -2.67724     -50.8000
sn1998bw     -5.15617     -43.8000
sn1998bw     -6.54437     -67.2000
sn1998bw      1.18989     -58.2000
sn1998bw      3.37134     -66.4000
sn1998bw      4.36292     -56.2000
sn1998bw      6.34606     -39.0000
sn1998bw      9.32077     -33.4000
sn1998bw      11.3039     -22.6000
sn1998bw      12.2955     -30.0000
sn1998bw      13.6837     -29.0000
sn1998bw      19.7323     -16.8000
sn1998bw      22.1120     -31.4000
sn1998bw      29.4497     -33.0000
sn1998bw      44.8190     -9.80000
sn1998bw      51.7600     -13.8000
sn1998bw      63.6589     -23.0000
sn1998bw      124.145     -52.2000
sn1998bw      199.306     -127.600
sn2002ap      2.09559     -40.2000
sn2002ap      1.09769     -41.0000
sn2002ap    0.0997898     -57.6000
sn2002ap      3.09348     -38.0000
sn2002ap      4.98949     -34.0000
sn2002ap      6.08718     -35.0000
sn2002ap      7.08507     -26.6000
sn2002ap      7.98318     -35.8000
sn2002ap      9.08087     -30.6000
sn2002ap      14.0704     -33.8000
sn2002ap      14.9685     -22.8000
sn2002ap      28.0409     -45.0000
sn2002ap      28.9390     -17.6000
sn2002ap      32.0325     -56.4000
sn2002ap      32.9306     -67.4000
sn2002ap      121.744     -26.0000
sn2002ap      130.725     -93.0000
sn2002ap      151.182     -96.6000
sn2002ap      154.674     -72.6000
sn2002ap      157.169     -124.200
sn2002ap      183.613     -88.2000
sn2003jd      1.17788     -92.0000
sn2003jd     0.196313     -83.2000
sn2003jd    -0.785250     -97.0000
sn2003jd     -1.66866     -102.400
sn2003jd      2.15944     -80.8000
sn2003jd      19.7294    -0.600000
sn2003jd      20.7110      0.00000
sn2003jd      22.6741     -1.00000
sn2003jd      23.6557     0.800000
sn2003jd      24.6372      1.80000
sn2003jd      27.6801      9.40000
sn2003jd      28.5635      2.60000
sn2003jd      34.5510      0.00000
sn2003jd      47.2132      7.60000
sn2003jd      48.1947    -0.600000
sn2003jd      49.1763      2.60000
sn2003jd      50.1579     -3.20000
sn2003jd      52.1210     0.200000
sn2003jd      55.1638     -9.20000
sn2003jd      56.0472     -9.60000
sn2003jd      61.9366     -9.60000
sn2003jd      73.7154     -28.0000
sn2006aj    0.0968054     -48.0000
sn2006aj    -0.871249     -62.6000
sn2006aj     -2.71055     -83.4000
sn2006aj     -3.67861     -99.2000
sn2006aj     -4.74347     -91.6000
sn2006aj     -5.71152     -77.4000
sn2006aj      2.03291     -33.2000
sn2006aj      3.00097     -63.2000
sn2006aj      198.742     -100.400
sn2007D     -3.81183     -8.00000
sn2007bg      4.06190     -40.2000
sn2007ru      3.05277     -60.2000
sn2007ru    0.0984766     -82.2000
sn2007ru      38.5043     -9.60000
sn1990B      4.00000     -27.6000
sn1990B      21.8000     -28.0000
sn1990B      38.7000     -33.2000
sn1990B      64.5000     -49.6000
sn1990B      71.5000     -50.2000
sn1990B      100.200     -23.8000
sn1994I    -0.698926     -4.00000
sn1994I     -1.59755     0.200000
sn1994I     -3.40000     -21.4000
sn1994I     -3.69432     -8.60000
sn1994I     -5.40000     -22.0000
sn1994I     -5.59141     -30.0000
sn1994I      1.29801     0.600000
sn1994I      2.49616     -9.80000
sn1994I      2.60000     -8.00000
sn1994I      5.60000     -19.8000
sn1994I      8.60000     -23.8000
sn1994I      10.6000     -34.2000
sn1994I      21.3672      3.60000
sn1994I      22.3656      1.40000
sn1994I      23.3641      25.2000
sn1994I      24.2627      6.80000
sn1994I      24.6000      7.00000
sn1994I      26.1598     -2.80000
sn1994I      28.2566      17.2000
sn1994I      30.2535     -6.00000
